MESSAGE;isAbusive;Positiv;Negativ;Pstv;Affil;Ngtv;Hostile;Strong;Power;Weak;Submit;Active;Passive;Pleasur;Pain;Feel;Arousal;EMOT;Virtue;Vice;Ovrst;Undrst;Academ;Doctrin;Econ@;Exch;ECON;Exprsv;Legal;Milit;Polit@;POLIT;Relig;Role;COLL;Work;Ritual;SocRel;Race;Kin@;MALE;Female;Nonadlt;HU;ANI;PLACE;Social;Region;Route;Aquatic;Land;Sky;Object;Tool;Food;Vehicle;BldgPt;ComnObj;NatObj;BodyPt;ComForm;COM;Say;Need;Goal;Try;Means;Persist;Complet;Fail;NatrPro;Begin;Vary;Increas;Decreas;Finish;Stay;Rise;Exert;Fetch;Travel;Fall;Think;Know;Causal;Ought;Perceiv;Compare;Eval@;EVAL;Solve;Abs@;ABS;Quality;Quan;NUMB;ORD;CARD;FREQ;DIST;Time@;TIME;Space;POS;DIM;Rel;COLOR;Self;Our;You;Name;Yes;No;Negate;Intrj;IAV;DAV;SV;IPadj;IndAdj;PowGain;PowLoss;PowEnds;PowAren;PowCon;PowCoop;PowAuPt;PowPt;PowDoct;PowAuth;PowOth;PowTot;RcEthic;RcRelig;RcGain;RcLoss;RcEnds;RcTot;RspGain;RspLoss;RspOth;RspTot;AffGain;AffLoss;AffPt;AffOth;AffTot;WltPt;WltTran;WltOth;WltTot;WlbGain;WlbLoss;WlbPhys;WlbPsyc;WlbPt;WlbTot;EnlGain;EnlLoss;EnlEnds;EnlPt;EnlOth;EnlTot;SklAsth;SklPt;SklOth;SklTot;TrnGain;TrnLoss;TranLw;MeansLw;EndsLw;ArenaLw;PtLw;Nation;Anomie;NegAff;PosAff;SureLw;If;NotLw;TimeSpc;FormLw
According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.;1;;Negativ;;Affil;;;Strong;Power;;;Active;;;;;;;;;Ovrst;Undrst;Academ;;;;;;Legal;;Polit@;POLIT;;;COLL;Work;;SocRel;;;;;;HU;;PLACE;Social;;;;;;Object;;;;;ComnObj;;;ComForm;COM;;;;;;;;Fail;;;;;;;;;;;;;;Know;;;;;;;;;;Quality;;;;;;;Time@;;Space;;;;;;;;;;;;;IAV;;;;IndAdj;;;;;;;PowAuPt;;;;;PowTot;;;;;;;;;;;AffGain;;;;AffTot;;;;;;;;;;;EnlGain;;;;EnlOth;EnlTot;;;;;;;;;EndsLw;;;;;;;;;;TimeSpc;FormLw
In Birmingham there is a school where girls and boys are separeted even if it isn't legal.;1;Positiv;Negativ;Pstv;;Ngtv;Hostile;;Power;;;Active;;;;;;;;;Ovrst;;Academ;Doctrin;;;ECON;;Legal;;;POLIT;;;;Work;;SocRel;;;;;;;;PLACE;Social;;;;;;;;;;;;;;ComForm;COM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Quality;;;;;;;;;Space;;;;;;;;;;;;;IAV;;SV;;;;;;;;;;;;PowAuth;;PowTot;;;RcGain;;;RcTot;;;;;;;;;;;;;;;;;;;;EnlGain;;;;EnlOth;EnlTot;;;;;;;;;;;;;;;;SureLw;If;;TimeSpc;FormLw
A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.;1;;Negativ;;Affil;;;Strong;Power;;;Active;;;;;;;;Vice;Ovrst;;Academ;;;;;;Legal;;Polit@;POLIT;;;COLL;Work;;SocRel;;;;;;HU;;PLACE;Social;;;;;;Object;;;;;ComnObj;;;ComForm;COM;Say;;;;;;Complet;;;;Vary;;;;;Rise;Exert;;Travel;;;Know;;;;;Eval@;;Solve;Abs@;ABS;Quality;Quan;;;;;;Time@;;Space;POS;DIM;;;;;;;;;;;IAV;DAV;;;IndAdj;;;;;;;PowAuPt;;;PowAuth;;PowTot;;;;;;;;;;;AffGain;;;;AffTot;;;;;;;;;;;EnlGain;;;;EnlOth;EnlTot;;;;;TrnGain;;TranLw;;;;;;;;;;;;TimeSpc;FormLw
According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.;1;;Negativ;;Affil;;;Strong;Power;;;Active;;;;;;;;;Ovrst;Undrst;Academ;;;;;;Legal;;Polit@;POLIT;;;COLL;Work;;SocRel;;;;;;HU;;PLACE;Social;;;;;;Object;;;;;ComnObj;;;ComForm;COM;;;;;;;;Fail;;;;;;;;;;;;;;Know;;;;;;;;;;Quality;;;;;;;Time@;;Space;;;;;;;;;;;;;IAV;;;;IndAdj;;;;;;;PowAuPt;;;;;PowTot;;;;;;;;;;;AffGain;;;;AffTot;;;;;;;;;;;EnlGain;;;;EnlOth;EnlTot;;;;;;;;;EndsLw;;;;;;;;;;TimeSpc;FormLw
In Birmingham there is a school where girls and boys are separeted even if it isn't legal.;1;Positiv;Negativ;Pstv;;Ngtv;Hostile;;Power;;;Active;;;;;;;;;Ovrst;;Academ;Doctrin;;;ECON;;Legal;;;POLIT;;;;Work;;SocRel;;;;;;;;PLACE;Social;;;;;;;;;;;;;;ComForm;COM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Quality;;;;;;;;;Space;;;;;;;;;;;;;IAV;;SV;;;;;;;;;;;;PowAuth;;PowTot;;;RcGain;;;RcTot;;;;;;;;;;;;;;;;;;;;EnlGain;;;;EnlOth;EnlTot;;;;;;;;;;;;;;;;SureLw;If;;TimeSpc;FormLw
A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.;1;;Negativ;;Affil;;;Strong;Power;;;Active;;;;;;;;Vice;Ovrst;;Academ;;;;;;Legal;;Polit@;POLIT;;;COLL;Work;;SocRel;;;;;;HU;;PLACE;Social;;;;;;Object;;;;;ComnObj;;;ComForm;COM;Say;;;;;;Complet;;;;Vary;;;;;Rise;Exert;;Travel;;;Know;;;;;Eval@;;Solve;Abs@;ABS;Quality;Quan;;;;;;Time@;;Space;POS;DIM;;;;;;;;;;;IAV;DAV;;;IndAdj;;;;;;;PowAuPt;;;PowAuth;;PowTot;;;;;;;;;;;AffGain;;;;AffTot;;;;;;;;;;;EnlGain;;;;EnlOth;EnlTot;;;;;TrnGain;;TranLw;;;;;;;;;;;;TimeSpc;FormLw
According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.;1;;Negativ;;Affil;;;Strong;Power;;;Active;;;;;;;;;Ovrst;Undrst;Academ;;;;;;Legal;;Polit@;POLIT;;;COLL;Work;;SocRel;;;;;;HU;;PLACE;Social;;;;;;Object;;;;;ComnObj;;;ComForm;COM;;;;;;;;Fail;;;;;;;;;;;;;;Know;;;;;;;;;;Quality;;;;;;;Time@;;Space;;;;;;;;;;;;;IAV;;;;IndAdj;;;;;;;PowAuPt;;;;;PowTot;;;;;;;;;;;AffGain;;;;AffTot;;;;;;;;;;;EnlGain;;;;EnlOth;EnlTot;;;;;;;;;EndsLw;;;;;;;;;;TimeSpc;FormLw
In Birmingham there is a school where girls and boys are separeted even if it isn't legal.;1;Positiv;Negativ;Pstv;;Ngtv;Hostile;;Power;;;Active;;;;;;;;;Ovrst;;Academ;Doctrin;;;ECON;;Legal;;;POLIT;;;;Work;;SocRel;;;;;;;;PLACE;Social;;;;;;;;;;;;;;ComForm;COM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Quality;;;;;;;;;Space;;;;;;;;;;;;;IAV;;SV;;;;;;;;;;;;PowAuth;;PowTot;;;RcGain;;;RcTot;;;;;;;;;;;;;;;;;;;;EnlGain;;;;EnlOth;EnlTot;;;;;;;;;;;;;;;;SureLw;If;;TimeSpc;FormLw
A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.;1;;Negativ;;Affil;;;Strong;Power;;;Active;;;;;;;;Vice;Ovrst;;Academ;;;;;;Legal;;Polit@;POLIT;;;COLL;Work;;SocRel;;;;;;HU;;PLACE;Social;;;;;;Object;;;;;ComnObj;;;ComForm;COM;Say;;;;;;Complet;;;;Vary;;;;;Rise;Exert;;Travel;;;Know;;;;;Eval@;;Solve;Abs@;ABS;Quality;Quan;;;;;;Time@;;Space;POS;DIM;;;;;;;;;;;IAV;DAV;;;IndAdj;;;;;;;PowAuPt;;;PowAuth;;PowTot;;;;;;;;;;;AffGain;;;;AffTot;;;;;;;;;;;EnlGain;;;;EnlOth;EnlTot;;;;;TrnGain;;TranLw;;;;;;;;;;;;TimeSpc;FormLw
